LLAVE,CANAL,CATEGORIA,TIPO_PROD,FABRICACION,PIEZAS,SUB_TOTAL,COSTO
ADUANA LEONALMACEN GENERAL MPMATERIA PRIMA,ADUANA LEON,ALMACEN GENERAL MP,MATERIA PRIMA,,0,0,0
BOUTIQUE170 FORUM BUENAVISTACALZADOARMADO,BOUTIQUE,170 FORUM BUENAVISTA,CALZADO,ARMADO,7197,4506166.73,1688598.97
BOUTIQUE170 FORUM BUENAVISTACALZADOINYECTADO,BOUTIQUE,170 FORUM BUENAVISTA,CALZADO,INYECTADO,2305,751059.24,315042.3932
BOUTIQUE160 GRAN PATIO CHALCOCALZADOARMADO,BOUTIQUE,160 GRAN PATIO CHALCO,CALZADO,ARMADO,3280,1985867.84,760472.1206
BOUTIQUE155 TOWN CENTER NICOLAS ROMEROCALZADOARMADO,BOUTIQUE,155 TOWN CENTER NICOLAS ROMERO,CALZADO,ARMADO,3775,2161101.25,866986.3669
BOUTIQUE155 TOWN CENTER NICOLAS ROMEROCALZADOINYECTADO,BOUTIQUE,155 TOWN CENTER NICOLAS ROMERO,CALZADO,INYECTADO,1411,415235.76,188497.0993
BOUTIQUE172 COSMOPOLCALZADOARMADO,BOUTIQUE,172 COSMOPOL,CALZADO,ARMADO,4236,2590523,985407.5765
BOUTIQUE170 FORUM BUENAVISTAROPASUDADERA,BOUTIQUE,170 FORUM BUENAVISTA,ROPA,SUDADERA,137,74925.22,32804.5
BOUTIQUE146 CHALCOCALZADOARMADO,BOUTIQUE,146 CHALCO,CALZADO,ARMADO,5408,3215492.17,1228575.328
BOUTIQUE159 TOWN CENTER ZUMPANGOCALZADOARMADO,BOUTIQUE,159 TOWN CENTER ZUMPANGO,CALZADO,ARMADO,3550,2145072.35,820703.0038
BOUTIQUE150 LAS AMERICAS ECATEPECROPAPLAYERA,BOUTIQUE,150 LAS AMERICAS ECATEPEC,ROPA,PLAYERA,114,31384.12,13399
BOUTIQUE158 SENDERO IXTAPALUCACALZADOARMADO,BOUTIQUE,158 SENDERO IXTAPALUCA,CALZADO,ARMADO,5136,3039373.77,1190787.093
BOUTIQUE150 LAS AMERICAS ECATEPECROPASUDADERA,BOUTIQUE,150 LAS AMERICAS ECATEPEC,ROPA,SUDADERA,138,75968.56,32107.5
BOUTIQUE161 GRAN PATIO ECATEPECCALZADOARMADO,BOUTIQUE,161 GRAN PATIO ECATEPEC,CALZADO,ARMADO,3374,1955533.82,773973.03
